"","Marker","User_id","Sampled_date","Actual","Prediction","Error"
"","2021-01-01 00:00:00+00:00","3669122","2021-01-01 00:00:00+00:00","0","1.2032085190825959","1.2032085190825959"
"","2021-01-01 00:00:00+00:00","3605337","2021-01-01 00:00:00+00:00","0","1.270995243422072","1.270995243422072"
"","2021-01-01 00:00:00+00:00","4170798","2021-01-01 00:00:00+00:00","0","1.3352141325883806","1.3352141325883806"
"","2021-01-01 00:00:00+00:00","4100441","2021-01-01 00:00:00+00:00","11","1.9911747172214858","-9.008825282778513"
"","2021-01-01 00:00:00+00:00","1821946","2021-01-01 00:00:00+00:00","0","2.060740504743839","2.060740504743839"
"","2021-01-01 00:00:00+00:00","1785072","2021-01-01 00:00:00+00:00","0","2.1957117832523787","2.1957117832523787"
"","2021-01-01 00:00:00+00:00","2934246","2021-01-01 00:00:00+00:00","0","2.327173507748604","2.327173507748604"
"","2021-01-01 00:00:00+00:00","2920113","2021-01-01 00:00:00+00:00","0","2.327173507748604","2.327173507748604"
"","2021-01-01 00:00:00+00:00","2922659","2021-01-01 00:00:00+00:00","0","2.327173507748604","2.327173507748604"
"","2021-01-01 00:00:00+00:00","3571050","2021-01-01 00:00:00+00:00","0","2.3833014716647054","2.3833014716647054"
"","2021-01-01 00:00:00+00:00","3790816","2021-01-01 00:00:00+00:00","9","2.836384351972237","-6.163615648027763"
"","2021-01-01 00:00:00+00:00","4079234","2021-01-01 00:00:00+00:00","0","2.8750026119524623","2.8750026119524623"
"","2021-01-01 00:00:00+00:00","4047150","2021-01-01 00:00:00+00:00","0","3.1085521391880877","3.1085521391880877"
"","2021-01-01 00:00:00+00:00","4170924","2021-01-01 00:00:00+00:00","0","3.1085521391880877","3.1085521391880877"
"","2021-01-01 00:00:00+00:00","1804012","2021-01-01 00:00:00+00:00","0","3.1296888567368164","3.1296888567368164"
"","2021-01-01 00:00:00+00:00","3759198","2021-01-01 00:00:00+00:00","0","3.1750304838479058","3.1750304838479058"
"","2021-01-01 00:00:00+00:00","4170887","2021-01-01 00:00:00+00:00","0","3.384397099333615","3.384397099333615"
"","2021-01-01 00:00:00+00:00","3791172","2021-01-01 00:00:00+00:00","0","3.449589761671644","3.449589761671644"
"","2021-01-01 00:00:00+00:00","4078340","2021-01-01 00:00:00+00:00","0","3.4674107369939504","3.4674107369939504"
